Instruction
"Determine if a movie review sentence is positive or negative in sentiment, classifying it as 'great' if it's favorable or 'terrible' if it's unfavorable."
"Analyze movie review sentences to decide if the sentiment is optimistic, labeling it as 'great', or pessimistic, labeling it as 'terrible'."
Categorize movie review sentences as 'great' for positive sentiment or 'terrible' for negative sentiment.
"Assign a 'great' label to movie review sentences that express a positive sentiment, or a 'terrible' label to those with a negative sentiment."
"For movie review sentences, decide if the sentiment is positive, labeling it as 'great', or negative, labeling it as 'terrible'."
Evaluate movie review sentences and classify them as 'great' for a positive sentiment or 'terrible' for a negative sentiment.
"Given movie review sentences, determine if the sentiment is 'great' for a positive one or 'terrible' for a negative one."
Examine movie review sentences and label them as 'great' if the sentiment is positive or 'terrible' if the sentiment is negative.
Review movie review sentences and categorize them as 'great' if the sentiment is positive or 'terrible' if the sentiment is negative.
Judge movie review sentences and tag them as 'great' if the sentiment is positive or 'terrible' if the sentiment is negative.
Assess movie review sentences and mark them as 'great' if the sentiment is positive or 'terrible' if the sentiment is negative.
Investigate movie review sentences and rate them as 'great' if the sentiment is positive or 'terrible' if the sentiment is negative.
Screen movie review sentences and characterize them as 'great' if the sentiment is positive or 'terrible' if the sentiment is negative.
Appraise movie review sentences and describe them as 'great' if the sentiment is positive or 'terrible' if the sentiment is negative.
Estimate movie review sentences and express them as 'great' if the sentiment is positive or 'terrible' if the sentiment is negative.
Establish movie review sentences as 'great' if the sentiment is positive or 'terrible' if the sentiment is negative.
Determine movie review sentences as 'great' if the sentiment is positive or 'terrible' if the sentiment is negative.
Define movie review sentences as 'great' if the sentiment is positive or 'terrible' if the sentiment is negative.
Interpret movie review sentences as 'great' if the sentiment is positive or 'terrible' if the sentiment is negative.
Understand movie review sentences as 'great' if the sentiment is positive or 'terrible' if the sentiment is negative.
Know movie review sentences as 'great' if the sentiment is positive or 'terrible' if the sentiment is negative.
Recognize movie review sentences as 'great' if the sentiment is positive or 'terrible' if the sentiment is negative.
Conclude movie review sentences as 'great' if the sentiment is positive or 'terrible' if the sentiment is negative.
Deduce movie review sentences as 'great' if the sentiment is positive or 'terrible' if the sentiment is negative.
Infer movie review sentences as 'great' if the sentiment is positive or 'terrible' if the sentiment is negative.
"Decide movie review sentences as 'great' if the sentiment is optimistic, and 'terrible' if the sentiment is negative."
"Classify movie review sentences as 'great' if the sentiment is favorable, and 'terrible' if the sentiment is unfavorable."
"Categorize movie review sentences as 'great' if the sentiment is positive, and 'terrible' if the sentiment is negative."
"Sort movie review sentences as 'great' if the sentiment is positive, and 'terrible' if the sentiment is negative."
"Group movie review sentences as 'great' if the sentiment is positive, and 'terrible' if the sentiment is negative."
"Order movie review sentences as 'great' if the sentiment is positive, and 'terrible' if the sentiment is negative."
"Arrange movie review sentences as 'great' if the sentiment is positive, and 'terrible' if the sentiment is negative."
"Rank movie review sentences as 'great' if the sentiment is positive, and 'terrible' if the sentiment is negative."
"Place movie review sentences as 'great' if the sentiment is positive, and 'terrible' if the sentiment is negative."
"Position movie review sentences as 'great' if the sentiment is positive, and 'terrible' if the sentiment is negative."
"Set movie review sentences as 'great' if the sentiment is positive, and 'terrible' if the sentiment is negative."
"Establish movie review sentences as 'great' if the sentiment is positive, and 'terrible' if the sentiment is negative."
"Fix movie review sentences as 'great' if the sentiment is positive, and 'terrible' if the sentiment is negative."
"Make movie review sentences as 'great' if the sentiment is positive, and 'terrible' if the sentiment is negative."
"Have movie review sentences as 'great' if the sentiment is positive, and 'terrible' if the sentiment is negative."
"Keep movie review sentences as 'great' if the sentiment is positive, and 'terrible' if the sentiment is negative."
"Maintain movie review sentences as 'great' if the sentiment is positive, and 'terrible' if the sentiment is negative."
"Continue movie review sentences as 'great' if the sentiment is positive, and 'terrible' if the sentiment is negative."
"Preserve movie review sentences as 'great' if the sentiment is positive, and 'terrible' if the sentiment is negative."
"Retain movie review sentences as 'great' if the sentiment is positive, and 'terrible' if the sentiment is negative."
"Maintain movie review sentences as 'great' if the sentiment is optimistic, and 'terrible' if the sentiment is negative."
"Keep movie review sentences as 'great' if the sentiment is optimistic, and 'terrible' if the sentiment is negative."
"Store movie review sentences as 'great' if the sentiment is optimistic, and 'terrible' if the sentiment is negative."
"Save movie review sentences as 'great' if the sentiment is optimistic, and 'terrible' if the sentiment is negative."
"Keep movie review sentences as 'great' if the sentiment is positive, and 'terrible' if the sentiment is negative, based on the given instruction.</s>"
